Name   , Term                                                                                                         , ES                  , NES                , NOM p-val           , FDR q-val           , FWER p-val, Tag % , Gene %, Lead_genes
prerank, Reactome_2022__Estrogen-dependent Gene Expression R-HSA-9018519                                              , -0.4150872692335881 , -1.2510040270472256, 0.17525773195876287 , 1.0                 ,       1.0 , 12/23 , 35.13%, USF1;H2BC14;H2BC1;H2BC15;NCOA2;AGO3;POLR2A;H2BC13;H2BC26;CDK9;H2AC14;NRIP1
prerank, Reactome_2022__Asparagine N-linked Glycosylation R-HSA-446203                                                , -0.4385008714102552 , -1.2447082692262221, 0.15053763440860216 , 1.0                 ,       1.0 , 6/19  , 29.67%, CTSZ;KDELR1;ARFGAP1;TMEM115;PRKCSH;PPP6R1
prerank, Reactome_2022__Signaling By GPCR R-HSA-372790                                                                , -0.3629441167006088 , -1.2418781548584985, 0.17                , 1.0                 ,       1.0 , 19/40 , 36.38%, AKT3;PRKACG;GPR31;GPR45;ITGA5;PRKCD;ADRA2C;HTR1A;ARHGEF12;DGKZ;GPR150;CASR;NPBWR2;PLPPR2;DHX34;CCL21;GPR32;GNG10;CHRM4
prerank, Reactome_2022__HCMV Early Events R-HSA-9609690                                                               , -0.4153058528779803 , -1.2355518752729415, 0.17525773195876287 , 1.0                 ,       1.0 , 13/22 , 42.31%, H2BC14;H2BC1;H2BC15;NUP153;CD46;H2BC13;H2BC26;H2AC14;H2AC12;H2AC1;H2AC21;H2AC11;H3C13
prerank, Reactome_2022__Developmental Biology R-HSA-1266738                                                           , -0.34262478070985913, -1.2334545195411764, 0.02                , 1.0                 ,       1.0 , 60/127, 36.97%, RPS7;AKT3;KRTAP5-10;PRKACG;LCE4A;LCE1C;KRTAP23-1;KRTAP10-8;KRTAP6-2;KRTAP9-1;KRTAP3-1;KRTAP19-4;KRTAP4-3;KRTAP4-1;KRTAP4-9;KRTAP9-8;KRTAP17-1;H2BC14;H2BC1;KRTAP10-6;ITGA5;H2BC15;KRTAP21-2;KRTAP5-4;NCOA2;KRTAP10-5;RPL21;KRTAP16-1;MED16;ARHGEF12;MEF2D;PDLIM7;KRTAP3-3;KRTAP2-2;KRTAP10-10;RPL14;KLK5;POLR2A;KRTAP19-6;KRTAP1-1;LCE3A;H2BC13;H2BC26;KRTAP15-1;KRTAP13-1;RPS6KA4;KRTAP12-2;KRTAP19-2;KRTAP13-4;RPSA;KRTAP10-7;KRTAP10-11;RPS17;H2AC14;KRTAP19-7;RANBP9;KRTAP4-5;LCE1A;KRTAP10-4;KRTAP27-1
prerank, KEGG_2021_Human__Ribosome                                                                                    , -0.4474773879715481 , -1.2309941407018505, 0.16304347826086957 , 1.0                 ,       1.0 , 9/17  , 44.45%, RPS7;RPL17;RPL21;RPL14;RPSA;MRPL12;RPS17;RPS24;RPS29
prerank, KEGG_2021_Human__Herpes simplex virus 1 infection                                                            , -0.44195398062620184, -1.2305941105521092, 0.20652173913043478 , 1.0                 ,       1.0 , 9/17  , 28.66%, AKT3;IFNA10;HLA-F;ITGA5;TICAM1;IFNA4;IFNGR2;IFNA17;IFNA13
prerank, KEGG_2021_Human__Coronavirus disease                                                                         , -0.41487737147818193, -1.230283858374195 , 0.18085106382978725 , 1.0                 ,       1.0 , 15/26 , 44.45%, RPS7;RPL17;IFNA10;RPL21;RPL14;IFNA4;IFNA17;IFNA13;MASP2;RPSA;RPS17;C5AR1;RPS24;IFNA14;RPS29
prerank, Reactome_2022__GPCR Downstream Signaling R-HSA-388396                                                        , -0.3712000661743963 , -1.2279500115847084, 0.14                , 1.0                 ,       1.0 , 17/36 , 36.38%, AKT3;PRKACG;GPR31;GPR45;ITGA5;PRKCD;ADRA2C;ARHGEF12;DGKZ;GPR150;CASR;NPBWR2;DHX34;CCL21;GPR32;GNG10;CHRM4
prerank, Reactome_2022__Apoptosis R-HSA-109581                                                                        , -0.42053173226085727, -1.2238118099504862, 0.1797752808988764  , 0.9977302416721098  ,       1.0 , 6/18  , 17.15%, AKT3;H1-5;PRKCD;ACIN1;PLEC;TICAM1
