Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Molecular_Function_2021__RNA binding (GO:0003723),0.4375908054690091,1.3474908875288039,0.019455252918287938,0.8970883799650923,0.994,16/80,17.39%,PEF1;CCDC124;FBRSL1;CSDE1;SHFL;MCRS1;NOL10;TNRC6B;CPEB4;HNRNPL;CELF2;SF3B4;ZFP36;MRPL28;FNDC3B;RPS10
prerank,KEGG_2021_Human__Human papillomavirus infection,-0.5049137130724674,-1.331265180880005,0.06458333333333334,1.0,0.995,6/34,11.57%,FZD10;AXIN1;FZD9;ATP6AP1;AKT1;PTEN
prerank,GO_Biological_Process_2021__chemical synaptic transmission (GO:0007268),0.5347528015794407,1.3266608902463757,0.10297029702970296,0.9511909169443415,0.994,9/23,18.81%,OR10H1;OR10J5;PCDHB4;OR6T1;DRD5;OMP;NPBWR1;OR10H3;OR5T2
prerank,Reactome_2022__Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,-0.573438742761513,-1.325222781733538,0.11022044088176353,1.0,0.997,6/16,19.35%,PSMB8;RBM8A;PSMA5;RPS7;RPL15;RPSA
prerank,Reactome_2022__RAF/MAP Kinase Cascade R-HSA-5673001,-0.5773030566073346,-1.3183134838090473,0.11967545638945233,1.0,0.997,5/16,14.72%,PSMB8;VCL;BRAF;RASGRP4;PSMA5
prerank,Reactome_2022__MAPK1/MAPK3 Signaling R-HSA-5684996,-0.5773030566073346,-1.3183134838090473,0.11967545638945233,1.0,0.997,5/16,14.72%,PSMB8;VCL;BRAF;RASGRP4;PSMA5
prerank,GO_Biological_Process_2021__positive regulation of transcription by RNA polymerase II (GO:0045944),0.4378189718727953,1.3059812506831199,0.05534351145038168,1.0,0.996,11/60,8.43%,ATAD2;HMGA1;KAT6B;MCRS1;KAT6A;REL;NFATC3;SENP1;ZNF451;FOXC2;DVL3
prerank,GO_Biological_Process_2021__MAPK cascade (GO:0000165),-0.5391460791419114,-1.304476795160564,0.13414634146341464,1.0,0.999,8/23,15.96%,HSF1;PSMB8;SKP1;BRAP;BRAF;RASGRP4;PSMA5;TAOK2
prerank,GO_Molecular_Function_2021__ubiquitin protein ligase activity (GO:0061630),0.5745045625804026,1.3026173873383633,0.13958333333333334,0.9718078271664089,0.997,9/18,23.15%,RNF187;IRF2BP1;TRIML2;RNF220;RNF38;ARIH1;ANKIB1;ANAPC11;FANCL
prerank,Reactome_2022__Signaling By ROBO Receptors R-HSA-376176,-0.5389614414060641,-1.2965661730844025,0.13279678068410464,1.0,1.0,6/19,19.35%,PSMB8;RBM8A;PSMA5;RPS7;RPL15;RPSA
prerank,GO_Molecular_Function_2021__cis-regulatory region sequence-specific DNA binding (GO:0000987),0.44114865741973386,1.286542860884322,0.07370517928286853,1.0,0.997,12/59,8.13%,TIPARP;HMGA1;ATOH7;ZNF524;MGA;REL;NFATC3;FOXS1;FOXD4;ZNF213;ZNF460;FOXC2
prerank,GO_Molecular_Function_2021__protein kinase binding (GO:0019901),-0.47283188778530766,-1.2772614481787647,0.10224948875255624,1.0,1.0,11/38,18.52%,HSF1;AGAP2;AP2A1;MAP4K2;AXIN1;WDR45;PPP1R15A;TAOK2;RPS7;RHOF;ACTBL2
prerank,GO_Biological_Process_2021__negative regulation of programmed cell death (GO:0043069),-0.4849539336128526,-1.2755387563582368,0.11618257261410789,1.0,1.0,6/31,11.93%,TCIM;FOXE3;EVI2B;PRKAA1;AKT1;BRAF
prerank,GO_Biological_Process_2021__regulation of transcription by RNA polymerase II (GO:0006357),0.3953021601487925,1.274304180956504,0.04408817635270541,1.0,0.998,20/119,8.43%,ZNF292;ATAD2;HMGA1;ATOH7;ZNF524;MGA;KAT6B;MCRS1;KAT6A;REL;NFATC3;RIF1;SENP1;FOXS1;FOXD4;IRF2BP1;ZNF451;ZNF213;FOXC2;DVL3
prerank,GO_Biological_Process_2021__transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),-0.5137552174186265,-1.2691859627180555,0.1360153256704981,1.0,1.0,7/24,14.12%,AP2A1;FES;ATP6AP1;AKT1;CD7;NCSTN;RASGRP4
prerank,GO_Molecular_Function_2021__mRNA binding (GO:0003729),0.5714470689388631,1.2689256229419221,0.17681728880157171,1.0,0.998,6/15,16.14%,SHFL;RNF40;CPEB4;HNRNPL;CELF2;ZFP36
prerank,KEGG_2021_Human__Human cytomegalovirus infection,0.5045897704101341,1.256429375721487,0.1264591439688716,1.0,0.999,5/24,12.28%,GNA13;NFATC3;IL10RB;AKT3;CCL5
prerank,KEGG_2021_Human__Endocytosis,-0.49051814340248606,-1.245985386716171,0.1328125,1.0,1.0,8/25,12.64%,CLTA;EPN1;AGAP2;AP2A1;SNX1;ACAP3;ARF3;ARAP3
prerank,Reactome_2022__GPCR Ligand Binding R-HSA-500792,0.5139950185741944,1.2437116975547207,0.16096579476861167,1.0,0.999,8/22,14.60%,PLPPR2;DRD5;C5AR1;MC5R;CCL5;GPHA2;NPBWR1;AVPR2
prerank,GO_Biological_Process_2021__cellular response to cytokine stimulus (GO:0071345),0.4909657933267765,1.2408831738117603,0.142570281124498,1.0,0.999,7/27,19.11%,IL10RB;ALOX5;IFNE;PTPRJ;CCL5;ZFP36;INPPL1
prerank,"GO_Biological_Process_2021__transcription, DNA-templated (GO:0006351)",-0.5132602560306033,-1.2292235810814476,0.18271119842829076,1.0,1.0,4/21,5.52%,TRIP11;HSF1;FOXE3;TAF6
prerank,GO_Molecular_Function_2021__kinase binding (GO:0019900),-0.45768145234288404,-1.2281444220291189,0.14845360824742268,1.0,1.0,10/34,18.52%,HSF1;AGAP2;AP2A1;AXIN1;WDR45;PPP1R15A;MOB1B;RPS7;RHOF;ACTBL2
prerank,GO_Biological_Process_2021__intracellular protein transport (GO:0006886),-0.5029847974242866,-1.2228338749613714,0.1680161943319838,1.0,1.0,6/23,12.05%,AP2A1;SNX1;TBC1D17;AKT1;ARF3;RANBP3
prerank,"GO_Biological_Process_2021__positive regulation of transcription, DNA-templated (GO:0045893)",0.3961223551119241,1.222357234927096,0.107421875,1.0,0.999,13/80,8.43%,UBE2V1;ATAD2;HMGA1;KAT6B;MCRS1;KAT6A;REL;NFATC3;SENP1;RNF187;ZNF451;FOXC2;DVL3
prerank,Reactome_2022__Developmental Biology R-HSA-1266738,-0.37200148510719183,-1.2208785883757174,0.06782945736434108,1.0,1.0,26/127,18.28%,CLTA;KRTAP2-3;KRTAP19-3;KRTAP10-1;H2AC20;PSMB8;AGAP2;AP2A1;FOXL2;MAP4K2;FES;KRTAP10-2;AKT1;NCSTN;RBM8A;MED25;KRTAP4-4;KRTAP1-5;LYPLA2;PSMA5;H2AC4;KRTAP10-3;RPS7;KRTAP13-2;H2BC3;RPL15
prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.4682416717866658,-1.2204361942387079,0.17261904761904762,1.0,1.0,10/29,22.02%,VCL;CDC27;ARAP3;DOCK2;TAOK2;SMC3;RHOF;ACTN4;CYTH2;YWHAE
prerank,Reactome_2022__Signaling By NOTCH R-HSA-157118,-0.4733612634456587,-1.219019546857041,0.1627450980392157,1.0,1.0,7/29,14.84%,H2AC20;PSMB8;SKP1;AKT1;NCSTN;PSMA5;H2AC4
prerank,MSigDB_Hallmark_2020__Hypoxia,0.54019961494947,1.209834497829774,0.2119460500963391,1.0,0.999,5/17,16.14%,ZNF292;TIPARP;NDRG1;MIF;ZFP36
prerank,GO_Biological_Process_2021__endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),0.5428601914539688,1.2066726535201449,0.21073558648111332,1.0,0.999,4/15,9.08%,PEF1;VTI1A;ARFGAP2;CD59
prerank,KEGG_2021_Human__Lipid and atherosclerosis,0.508628706575147,1.2033536530248605,0.20930232558139536,1.0,0.999,7/20,20.89%,NFATC3;MAPK10;AKT3;CCL5;MIB1;NCF4;CASP8
prerank,GO_Molecular_Function_2021__G protein-coupled receptor activity (GO:0004930),0.4764648647269353,1.1952335883550151,0.20281124497991967,1.0,0.999,8/26,17.74%,GPR52;DRD5;C5AR1;MC5R;OR56A1;NPBWR1;AVPR2;GPR151
prerank,GO_Biological_Process_2021__organelle assembly (GO:0070925),0.4861250859379834,1.1905362695233312,0.22960151802656548,1.0,0.999,4/22,1.96%,CHMP6;TMEM250;ABCC4;CSDE1
prerank,Reactome_2022__Chromatin Modifying Enzymes R-HSA-3247509,0.46076790512568766,1.182221637618429,0.17857142857142858,1.0,0.999,8/28,16.50%,KAT6B;MCRS1;KAT6A;H2BC18;H2BC1;GPS2;EZH2;H3C13
prerank,GO_Biological_Process_2021__regulation of protein phosphorylation (GO:0001932),-0.5170026501666414,-1.1820481376981165,0.22792607802874743,1.0,1.0,8/18,18.87%,AXIN1;AKT1;PTEN;FBH1;MYADM;MOB1B;BRAT1;PHIP
prerank,GO_Cellular_Component_2021__lytic vacuole membrane (GO:0098852),0.5186528104057878,1.178546377638065,0.23014256619144602,1.0,0.999,3/16,14.54%,GPR137;PIP4P1;MFSD12
prerank,Reactome_2022__Asparagine N-linked Glycosylation R-HSA-446203,0.5122486074949257,1.177193868933687,0.2372549019607843,1.0,1.0,4/19,9.08%,ARFGAP2;ALG10B;UGGT1;CD59
prerank,Reactome_2022__Cytokine Signaling In Immune System R-HSA-1280215,0.4286398368844349,1.175344558426694,0.18929254302103252,0.9870081787890008,1.0,15/42,20.89%,UBE2V1;TNFSF12;KPNA5;IL10RB;MAPK10;ALOX5;PTPRJ;AKT3;CCL5;IFI6;H3C13;NFKBIB;INPPL1;ARIH1;CASP8
prerank,GO_Biological_Process_2021__chromatin assembly (GO:0031497),0.5029302854917468,1.1752942352949762,0.23121387283236994,0.9581146416359954,1.0,5/20,16.50%,KAT6B;H2BC18;H2BC1;H3C1;H3C13
prerank,Reactome_2022__Neuronal System R-HSA-112316,-0.522661241342448,-1.1739781715479876,0.2440944881889764,1.0,1.0,7/15,12.70%,DLGAP4;GABRA1;AP2A1;KCNA10;DBNL;PRKAA1;LRFN1
prerank,Reactome_2022__HCMV Infection R-HSA-9609646,0.47250563811017315,1.1701533408789973,0.22437137330754353,0.9528481514782885,1.0,7/25,16.50%,CHMP6;H2BC18;H2BC1;GPS2;EZH2;MVB12A;H3C13
prerank,GO_Cellular_Component_2021__vesicle (GO:0031982),-0.4887453581508387,-1.1683421654634614,0.22504892367906065,1.0,1.0,4/19,10.15%,CAPS;VCL;SNX1;AKT1
prerank,"GO_Biological_Process_2021__regulation of transcription, DNA-templated (GO:0006355)",0.3559366505181437,1.1678328232773934,0.11797752808988764,0.9365358509194125,1.0,22/138,8.78%,ZNF292;UBE2V1;ATAD2;HMGA1;ATOH7;ZNF524;MGA;KAT6B;KAT6A;REL;NFATC3;FOXS1;FOXD4;RNF187;IRF2BP1;ZNF213;PQBP1;ZNF460;FOXC2;DVL3;PHC2;CCDC85B
prerank,GO_Biological_Process_2021__regulation of cell cycle (GO:0051726),-0.4471409546800069,-1.1611732414640374,0.20638297872340425,1.0,1.0,7/28,11.81%,FOXE3;TAF6;EVI2B;PPP1R15A;FZD9;CDK11B;MED25
prerank,GO_Cellular_Component_2021__dendrite (GO:0030425),0.4776709158637111,1.160630220783153,0.2245762711864407,0.9432442438736404,1.0,6/23,10.50%,OR10H1;MCRS1;OR10J5;OR6T1;OPA1;CPEB4
prerank,GO_Cellular_Component_2021__microtubule cytoskeleton (GO:0015630),-0.4578032324494091,-1.1594767022322305,0.22792607802874743,1.0,1.0,6/23,10.15%,PCIF1;CDC27;KIF21B;FES;CCDC66;AKT1
prerank,KEGG_2021_Human__Alzheimer disease,-0.44242873489973555,-1.1532173672506887,0.23877551020408164,1.0,1.0,11/29,19.41%,FZD10;AXIN1;FZD9;ADRM1;AKT1;NCSTN;BRAF;PSMA5;ATP5F1A;VDAC2;PPP3R2
prerank,GO_Molecular_Function_2021__ubiquitin-protein transferase activity (GO:0004842),0.4618691655535936,1.147701185186911,0.23742454728370221,0.9775619166390616,1.0,11/27,23.15%,RNF187;IRF2BP1;TRIML2;RNF40;RNF220;RNF38;MIB1;ARIH1;ANKIB1;ANAPC11;FANCL
prerank,Reactome_2022__TCF Dependent Signaling In Response To WNT R-HSA-201681,-0.4645974846228183,-1.1470052835992322,0.23293172690763053,1.0,1.0,7/23,18.16%,H2AC20;PSMB8;AXIN1;AKT1;PSMA5;H2AC4;H2BC3
prerank,Reactome_2022__Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,0.5043507956522445,1.146752616160571,0.2682445759368836,0.9567206827480801,1.0,7/16,24.69%,PQBP1;PRCC;HNRNPL;ZMAT5;SF3B4;POLR2E;XAB2
prerank,GO_Cellular_Component_2021__cytoskeleton (GO:0005856),-0.4189502751707956,-1.1444255898341036,0.22746781115879827,1.0,1.0,10/36,18.22%,PCIF1;VCL;FHOD1;FES;AKT1;CDK16;TAOK2;PEAK3;RHOF;ACTN4
prerank,GO_Biological_Process_2021__negative regulation of macromolecule metabolic process (GO:0010605),0.5093248362064544,1.1419892450517977,0.27058823529411763,0.9542299148463532,1.0,4/15,14.78%,TIPARP;REL;TNRC6B;MIF
prerank,GO_Biological_Process_2021__regulation of nucleic acid-templated transcription (GO:1903506),0.4238228866903573,1.137634993266467,0.23863636363636365,0.9496257032174171,1.0,10/39,21.66%,UBE2V1;HMGA1;KAT6B;PQBP1;ZNF460;EZH2;MLX;REST;NFIA;FOXN2
